usingWebGL,participant,session,date,expName,psychopyVersion,OS,frameRate,PROLIFIC_PID,STUDY_ID,SESSION_ID,signatures_friend,signatures_foe,band_ranges_top,band_ranges_bottom,formitemText,formtype,formundefined,formitemWidth,formindex,formresponse,formrt,key_resp_2.keys,key_resp_2.rt,tute_resp.keys,tute_resp.rt,tutorial.thisRepN,tutorial.thisTrialN,tutorial.thisN,tutorial.thisIndex,tutorial.ran,key_resp_4.keys,key_resp_4.rt,key_resp.keys,key_resp.corr,lines_presented,is_signal_presented,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,vessel,active_band,lines,is_signal,supported_pos,catch_trial,key_resp.rt,debrief_formindex,debrief_formitemText,debrief_formtype,debrief_formitemWidth,debrief_formresponse,debrief_formrt,phases.thisRepN,phases.thisTrialN,phases.thisN,phases.thisIndex,phases.ran,phases.order,phase,trials.order
,5f5aa7a073b8271a0ab0947c,001,2022-04-29_03h19.29.085,classification_task,2021.2.3,Win32,143.1024614,5f5aa7a073b8271a0ab0947c,626b377229c10585ec392f89,626b3cad9b9ba8cdf9161613,,,,,,,,,,,,,,space,32.9654,3,0,3,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5f5aa7a073b8271a0ab0947c,001,2022-04-29_03h19.29.085,classification_task,2021.2.3,Win32,143.1024614,5f5aa7a073b8271a0ab0947c,626b377229c10585ec392f89,626b3cad9b9ba8cdf9161613,,,,,,,,,,,,,,space,11.2675,4,0,4,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5f5aa7a073b8271a0ab0947c,001,2022-04-29_03h19.29.085,classification_task,2021.2.3,Win32,143.1024614,5f5aa7a073b8271a0ab0947c,626b377229c10585ec392f89,626b3cad9b9ba8cdf9161613,,,,,,,,,,,,,,,,,,,,,space,14.113,,0,"[""0.109"",""0.674"",""0.578"",""0.818""]","[1,0,1,1]",0,0,0,0,1,1,0,,,1,FALSE,,,,,,,,,,,,,,,
,5f5aa7a073b8271a0ab0947c,001,2022-04-29_03h19.29.085,classification_task,2021.2.3,Win32,143.1024614,5f5aa7a073b8271a0ab0947c,626b377229c10585ec392f89,626b3cad9b9ba8cdf9161613,,,,,,,,,,,,,,,,,,,,,,,a,0,"[""0.109"",""0.368"",""0.578"",""0.674""]","[1,1,1,0]",0,1,1,1,1,1,0,,,1,FALSE,4.1495,,,,,,,,,,,,,,
,5f5aa7a073b8271a0ab0947c,001,2022-04-29_03h19.29.085,classification_task,2021.2.3,Win32,143.1024614,5f5aa7a073b8271a0ab0947c,626b377229c10585ec392f89,626b3cad9b9ba8cdf9161613,,,,,,,,,,,,,,,,,,,,,,,a,0,"[""0.153"",""0.310"",""0.511"",""0.932""]","[1,1,1,0]",0,2,2,2,1,1,1,,,1,FALSE,7.8699,,,,,,,,,,,,,,
,5f5aa7a073b8271a0ab0947c,001,2022-04-29_03h19.29.085,classification_task,2021.2.3,Win32,143.1024614,5f5aa7a073b8271a0ab0947c,626b377229c10585ec392f89,626b3cad9b9ba8cdf9161613,,,,,,,,,,,,,,,,,,,,,,,l,1,"[""0.109"",""0.368"",""0.927"",""0.818""]","[1,1,0,1]",0,3,3,3,1,1,0,,,1,FALSE,5.5391,,,,,,,,,,,,,,
,5f5aa7a073b8271a0ab0947c,001,2022-04-29_03h19.29.085,classification_task,2021.2.3,Win32,143.1024614,5f5aa7a073b8271a0ab0947c,626b377229c10585ec392f89,626b3cad9b9ba8cdf9161613,,,,,,,,,,,,,,,,,,,,,,,l,1,"[""0.153"",""0.310"",""0.029"",""0.711""]","[1,1,0,1]",0,4,4,4,1,1,1,,,1,FALSE,8.9623,,,,,,,,,,,,,,
,5f5aa7a073b8271a0ab0947c,001,2022-04-29_03h19.29.085,classification_task,2021.2.3,Win32,143.1024614,5f5aa7a073b8271a0ab0947c,626b377229c10585ec392f89,626b3cad9b9ba8cdf9161613,,,,,,,,,,,,,,,,,,,,,,,l,0,"[""0.205"",""0.422"",""0.622"",""0.071""]","[1,1,1,0]",0,5,5,5,1,0,0,,,1,FALSE,7.393,,,,,,,,,,,,,,
,5f5aa7a073b8271a0ab0947c,001,2022-04-29_03h19.29.085,classification_task,2021.2.3,Win32,143.1024614,5f5aa7a073b8271a0ab0947c,626b377229c10585ec392f89,626b3cad9b9ba8cdf9161613,,,,,,,,,,,,,,,,,,,,,,,a,1,"[""0.271"",""0.027"",""0.775"",""0.974""]","[1,0,1,1]",0,6,6,6,1,0,1,,,1,FALSE,8.7111,,,,,,,,,,,,,,
,5f5aa7a073b8271a0ab0947c,001,2022-04-29_03h19.29.085,classification_task,2021.2.3,Win32,143.1024614,5f5aa7a073b8271a0ab0947c,626b377229c10585ec392f89,626b3cad9b9ba8cdf9161613,,,,,,,,,,,,,,,,,,,,,,,,0,"[""0.205"",""0.422"",""0.674"",""0.880""]","[1,1,0,1]",0,7,7,7,1,0,0,,,1,FALSE,,,,,,,,,,,,,,,
