usingWebGL,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,signatures_friend,signatures_foe,band_ranges_top,band_ranges_bottom,formitemText,formtype,formundefined,formitemWidth,formindex,formresponse,formrt,key_resp_2.keys,key_resp_2.rt,tute_resp.keys,tute_resp.rt,tutorial.thisRepN,tutorial.thisTrialN,tutorial.thisN,tutorial.thisIndex,tutorial.ran,key_resp_4.keys,key_resp_4.rt,key_resp.keys,key_resp.corr,lines_presented,is_signal_presented,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,vessel,active_band,lines,is_signal,supported_pos,catch_trial,key_resp.rt,debrief_formindex,debrief_formitemText,debrief_formtype,debrief_formitemWidth,debrief_formresponse,debrief_formrt,phases.thisRepN,phases.thisTrialN,phases.thisN,phases.thisIndex,phases.ran,phases.order,phase,key_resp_3.keys,trustitemText,trusttype,trustitemWidth,trustindex,trustresponse,trustrt,support_status.thisRepN,support_status.thisTrialN,support_status.thisN,support_status.thisIndex,support_status.ran,support_status.order,key_resp_5.keys,globalClockTime,userAgent,manualCondition
,616934a454cf1f0e21721134,627c6f1cc925d19e815a9021,2022-05-12_04h25.15.596,classification_task,2021.2.3,Win32,59.89817311,627c6715c52fd12f31907bcf,,,,,,,,,,,,,,,,,,,,,,,a,1,"[""0.708"",""0.511"",""0.881"",""0.957""]","[0,1,1,1]",0,2,2,2,1,0,0,,,0,FALSE,6.144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,616934a454cf1f0e21721134,627c6f1cc925d19e815a9021,2022-05-12_04h25.15.596,classification_task,2021.2.3,Win32,59.89817311,627c6715c52fd12f31907bcf,,,,,,,,,,,,,,,,,,,,,,,a,0,"[""0.357"",""0.407"",""0.557"",""0.822""]","[0,1,1,1]",0,3,3,3,1,1,0,,,0,FALSE,4.1563,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,616934a454cf1f0e21721134,627c6f1cc925d19e815a9021,2022-05-12_04h25.15.596,classification_task,2021.2.3,Win32,59.89817311,627c6715c52fd12f31907bcf,,,,,,,,,,,,,,,,,,,,,,,l,1,"[""0.103"",""0.267"",""0.672"",""0.768""]","[1,0,1,1]",0,4,4,4,1,1,1,,,0,FALSE,5.1732,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,616934a454cf1f0e21721134,627c6f1cc925d19e815a9021,2022-05-12_04h25.15.596,classification_task,2021.2.3,Win32,59.89817311,627c6715c52fd12f31907bcf,,,,,,,,,,,,,,,,,,,,,,,a,1,"[""0.242"",""0.471"",""0.621"",""0.922""]","[0,1,1,1]",0,5,5,5,1,0,1,,,0,FALSE,4.7726,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,616934a454cf1f0e21721134,627c6f1cc925d19e815a9021,2022-05-12_04h25.15.596,classification_task,2021.2.3,Win32,59.89817311,627c6715c52fd12f31907bcf,,,,,,,,,,,,,,,,,,,,,,,a,1,"[""0.198"",""0.256"",""0.621"",""0.922""]","[1,0,1,1]",0,6,6,6,1,0,1,,,0,FALSE,1.3764,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,616934a454cf1f0e21721134,627c6f1cc925d19e815a9021,2022-05-12_04h25.15.596,classification_task,2021.2.3,Win32,59.89817311,627c6715c52fd12f31907bcf,,,,,,,,,,,,,,,,,,,,,,,a,1,"[""0.322"",""0.357"",""0.881"",""0.957""]","[1,0,1,1]",0,7,7,7,1,0,0,,,0,FALSE,3.1472,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,616934a454cf1f0e21721134,627c6f1cc925d19e815a9021,2022-05-12_04h25.15.596,classification_task,2021.2.3,Win32,59.89817311,627c6715c52fd12f31907bcf,,,,,,,,,,,,,,,,,,,,,,,l,1,"[""0.029"",""0.407"",""0.557"",""0.277""]","[1,1,1,0]",0,8,8,8,1,1,0,,,0,FALSE,1.8066,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,616934a454cf1f0e21721134,627c6f1cc925d19e815a9021,2022-05-12_04h25.15.596,classification_task,2021.2.3,Win32,59.89817311,627c6715c52fd12f31907bcf,,,,,,,,,,,,,,,,,,,,,,,a,1,"[""0.322"",""0.511"",""0.357"",""0.957""]","[1,1,0,1]",0,9,9,9,1,0,0,,,0,FALSE,1.0627,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,616934a454cf1f0e21721134,627c6f1cc925d19e815a9021,2022-05-12_04h25.15.596,classification_task,2021.2.3,Win32,59.89817311,627c6715c52fd12f31907bcf,,,,,,,,,,,,,,,,,,,,,,,l,1,"[""0.029"",""0.253"",""0.557"",""0.822""]","[1,0,1,1]",0,10,10,10,1,1,0,,,0,FALSE,1.2425,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,616934a454cf1f0e21721134,627c6f1cc925d19e815a9021,2022-05-12_04h25.15.596,classification_task,2021.2.3,Win32,59.89817311,627c6715c52fd12f31907bcf,,,,,,,,,,,,,,,,,,,,,,,a,0,"[""0.103"",""0.162"",""0.672"",""0.242""]","[1,1,1,0]",0,11,11,11,1,1,1,,,0,FALSE,2.0635,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
