usingWebGL,participant,session,date,expName,psychopyVersion,OS,frameRate,PROLIFIC_PID,STUDY_ID,SESSION_ID,signatures_friend,signatures_foe,band_ranges_top,band_ranges_bottom
TRUE,5f2dc3b1a2052d0fc281a2c4,001,2022-04-28_20h07.33.270,classification_task,2021.2.3,Win32,143.9055979,5f2dc3b1a2052d0fc281a2c4,626b377229c10585ec392f89,626b39f0caf0a8250640b10e,,,,
,5f2dc3b1a2052d0fc281a2c4,001,2022-04-28_20h07.33.270,classification_task,2021.2.3,Win32,143.9055979,5f2dc3b1a2052d0fc281a2c4,626b377229c10585ec392f89,626b39f0caf0a8250640b10e,"[[""0.243"",""0.432"",""0.608"",""0.890""],[""0.191"",""0.352"",""0.845"",""0.955""]]","[[""0.057"",""0.390"",""0.567"",""0.803""],[""0.153"",""0.314"",""0.518"",""0.692""]]","[1,10]","[100,1000]"
