usingWebGL,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,signatures_friend,signatures_foe,band_ranges_top,band_ranges_bottom,formitemText,formtype,formundefined,formitemWidth,formindex,formresponse,formrt,key_resp_2.keys,key_resp_2.rt,tute_resp.keys,tute_resp.rt,tutorial.thisRepN,tutorial.thisTrialN,tutorial.thisN,tutorial.thisIndex,tutorial.ran,key_resp_4.keys,key_resp_4.rt,key_resp.keys,key_resp.corr,key_resp.rt,lines_presented,is_signal_presented,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,vessel,active_band,lines,is_signal,supported_pos,catch_trial,debrief_formindex,debrief_formitemText,debrief_formtype,debrief_formitemWidth,debrief_formresponse,debrief_formrt,phases.thisRepN,phases.thisTrialN,phases.thisN,phases.thisIndex,phases.ran,phases.order,phase
TRUE,613b570da4c6973e6b819474,627c76c094d123c3e7e6e226,2022-05-11_21h54.26.995,classification_task,2021.2.3,Win32,60.0348202,627c6715c52fd12f31907bd0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,613b570da4c6973e6b819474,627c76c094d123c3e7e6e226,2022-05-11_21h54.26.995,classification_task,2021.2.3,Win32,60.0348202,627c6715c52fd12f31907bd0,"[[""0.297"",""0.547"",""0.843"",""0.968""],[""0.201"",""0.387"",""0.650"",""0.898""]]","[[""0.082"",""0.255"",""0.446"",""0.704""],[""0.116"",""0.347"",""0.498"",""0.768""]]","[1,10]","[100,1000]",Video game experience,,,0.7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,613b570da4c6973e6b819474,627c76c094d123c3e7e6e226,2022-05-11_21h54.26.995,classification_task,2021.2.3,Win32,60.0348202,627c6715c52fd12f31907bd0,,,,,Approximately how many hours did you spend playing video games in the last week?,,,0.7,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,613b570da4c6973e6b819474,627c76c094d123c3e7e6e226,2022-05-11_21h54.26.995,classification_task,2021.2.3,Win32,60.0348202,627c6715c52fd12f31907bd0,,,,,"Which game did you play the most this year? (Enter ""None"" if you didn't play any)",,,0.7,0,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,613b570da4c6973e6b819474,627c76c094d123c3e7e6e226,2022-05-11_21h54.26.995,classification_task,2021.2.3,Win32,60.0348202,627c6715c52fd12f31907bd0,,,,,Visual perception,,,0.7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,613b570da4c6973e6b819474,627c76c094d123c3e7e6e226,2022-05-11_21h54.26.995,classification_task,2021.2.3,Win32,60.0348202,627c6715c52fd12f31907bd0,,,,,Do you have any form of color blindness?,,,0.7,0,No,26.0808,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,613b570da4c6973e6b819474,627c76c094d123c3e7e6e226,2022-05-11_21h54.26.995,classification_task,2021.2.3,Win32,60.0348202,627c6715c52fd12f31907bd0,,,,,Do you use software to change the colour temperature of your screen (e.g. f.lux)?,,,0.7,0,No,28.8867,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,613b570da4c6973e6b819474,627c76c094d123c3e7e6e226,2022-05-11_21h54.26.995,classification_task,2021.2.3,Win32,60.0348202,627c6715c52fd12f31907bd0,,,,,,,,,,,,space,11.2096,space,6.8458,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,613b570da4c6973e6b819474,627c76c094d123c3e7e6e226,2022-05-11_21h54.26.995,classification_task,2021.2.3,Win32,60.0348202,627c6715c52fd12f31907bd0,,,,,,,,,,,,,,space,9.8562,1,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,613b570da4c6973e6b819474,627c76c094d123c3e7e6e226,2022-05-11_21h54.26.995,classification_task,2021.2.3,Win32,60.0348202,627c6715c52fd12f31907bd0,,,,,,,,,,,,,,space,18.5603,2,0,2,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,613b570da4c6973e6b819474,627c76c094d123c3e7e6e226,2022-05-11_21h54.26.995,classification_task,2021.2.3,Win32,60.0348202,627c6715c52fd12f31907bd0,,,,,,,,,,,,,,space,25.7188,3,0,3,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,613b570da4c6973e6b819474,627c76c094d123c3e7e6e226,2022-05-11_21h54.26.995,classification_task,2021.2.3,Win32,60.0348202,627c6715c52fd12f31907bd0,,,,,,,,,,,,,,space,11.9998,4,0,4,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,613b570da4c6973e6b819474,627c76c094d123c3e7e6e226,2022-05-11_21h54.26.995,classification_task,2021.2.3,Win32,60.0348202,627c6715c52fd12f31907bd0,,,,,,,,,,,,,,,,,,,,,space,3.1493,l,1,7.6712,"[""0.082"",""0.255"",""0.446"",""0.592""]","[1,1,1,0]",0,0,0,0,1,1,0,,,1,FALSE,,,,,,,,,,,,,
,613b570da4c6973e6b819474,627c76c094d123c3e7e6e226,2022-05-11_21h54.26.995,classification_task,2021.2.3,Win32,60.0348202,627c6715c52fd12f31907bd0,,,,,,,,,,,,,,,,,,,,,,,l,1,2.3422,"[""0.082"",""0.255"",""0.809"",""0.704""]","[1,1,0,1]",0,1,1,1,1,1,0,,,1,FALSE,,,,,,,,,,,,,
,613b570da4c6973e6b819474,627c76c094d123c3e7e6e226,2022-05-11_21h54.26.995,classification_task,2021.2.3,Win32,60.0348202,627c6715c52fd12f31907bd0,,,,,,,,,,,,,,,,,,,,,,,,0,,"[""0.116"",""0.347"",""0.498"",""0.046""]","[1,1,1,0]",0,2,2,2,1,1,1,,,1,FALSE,,,,,,,,,,,,,
,613b570da4c6973e6b819474,627c76c094d123c3e7e6e226,2022-05-11_21h54.26.995,classification_task,2021.2.3,Win32,60.0348202,627c6715c52fd12f31907bd0,,,,,,,,,,,,,,,,,,,,,,,l,0,4.554,"[""0.037"",""0.547"",""0.843"",""0.968""]","[0,1,1,1]",0,3,3,3,1,0,0,,,1,FALSE,,,,,,,,,,,,,
