usingWebGL,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,signatures_friend,signatures_foe,band_ranges_top,band_ranges_bottom,formitemText,formtype,formundefined,formitemWidth,formindex,formresponse,formrt,key_resp_2.keys,key_resp_2.rt,tute_resp.keys,tute_resp.rt,tutorial.thisRepN,tutorial.thisTrialN,tutorial.thisN,tutorial.thisIndex,tutorial.ran,key_resp_4.keys,key_resp_4.rt,key_resp.keys,key_resp.corr,key_resp.rt,lines_presented,is_signal_presented,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,vessel,active_band,lines,is_signal,supported_pos,catch_trial,debrief_formindex,debrief_formitemText,debrief_formtype,debrief_formitemWidth,debrief_formresponse,debrief_formrt,phases.thisRepN,phases.thisTrialN,phases.thisN,phases.thisIndex,phases.ran,phases.order,phase
,6090b0a0a3289699f1b4917e,627c6fafca84a60ec02aefab,2022-05-11_22h26.24.200,classification_task,2021.2.3,Win32,60.07810153,627c6715c52fd12f31907bcf,,,,,,,,,,,,,,space,27.0965,3,0,3,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6090b0a0a3289699f1b4917e,627c6fafca84a60ec02aefab,2022-05-11_22h26.24.200,classification_task,2021.2.3,Win32,60.07810153,627c6715c52fd12f31907bcf,,,,,,,,,,,,,,space,19.1761,4,0,4,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6090b0a0a3289699f1b4917e,627c6fafca84a60ec02aefab,2022-05-11_22h26.24.200,classification_task,2021.2.3,Win32,60.07810153,627c6715c52fd12f31907bcf,,,,,,,,,,,,,,,,,,,,,space,30.6139,a,1,7.1801,"[""0.324"",""0.460"",""0.749"",""0.920""]","[1,1,0,1]",0,0,0,0,1,0,0,,,0,FALSE,,,,,,,,,,,,,
,6090b0a0a3289699f1b4917e,627c6fafca84a60ec02aefab,2022-05-11_22h26.24.200,classification_task,2021.2.3,Win32,60.07810153,627c6715c52fd12f31907bcf,,,,,,,,,,,,,,,,,,,,,,,l,0,3.7433,"[""0.287"",""0.508"",""0.878"",""0.958""]","[0,1,1,1]",0,1,1,1,1,0,1,,,0,FALSE,,,,,,,,,,,,,
,6090b0a0a3289699f1b4917e,627c6fafca84a60ec02aefab,2022-05-11_22h26.24.200,classification_task,2021.2.3,Win32,60.07810153,627c6715c52fd12f31907bcf,,,,,,,,,,,,,,,,,,,,,,,a,1,8.2913,"[""0.195"",""0.508"",""0.749"",""0.958""]","[1,1,0,1]",0,2,2,2,1,0,1,,,0,FALSE,,,,,,,,,,,,,
,6090b0a0a3289699f1b4917e,627c6fafca84a60ec02aefab,2022-05-11_22h26.24.200,classification_task,2021.2.3,Win32,60.07810153,627c6715c52fd12f31907bcf,,,,,,,,,,,,,,,,,,,,,,,l,1,4.0677,"[""0.034"",""0.369"",""0.153"",""0.804""]","[1,1,0,1]",0,3,3,3,1,1,0,,,0,FALSE,,,,,,,,,,,,,
,6090b0a0a3289699f1b4917e,627c6fafca84a60ec02aefab,2022-05-11_22h26.24.200,classification_task,2021.2.3,Win32,60.07810153,627c6715c52fd12f31907bcf,,,,,,,,,,,,,,,,,,,,,,,l,0,4.3531,"[""0.195"",""0.508"",""0.878"",""0.069""]","[1,1,1,0]",0,4,4,4,1,0,1,,,0,FALSE,,,,,,,,,,,,,
,6090b0a0a3289699f1b4917e,627c6fafca84a60ec02aefab,2022-05-11_22h26.24.200,classification_task,2021.2.3,Win32,60.07810153,627c6715c52fd12f31907bcf,,,,,,,,,,,,,,,,,,,,,,,l,1,5.5629,"[""0.283"",""0.415"",""0.606"",""0.705""]","[0,1,1,1]",0,5,5,5,1,1,1,,,0,FALSE,,,,,,,,,,,,,
,6090b0a0a3289699f1b4917e,627c6fafca84a60ec02aefab,2022-05-11_22h26.24.200,classification_task,2021.2.3,Win32,60.07810153,627c6715c52fd12f31907bcf,,,,,,,,,,,,,,,,,,,,,,,l,1,6.1702,"[""0.034"",""0.145"",""0.545"",""0.804""]","[1,0,1,1]",0,6,6,6,1,1,0,,,0,FALSE,,,,,,,,,,,,,
,6090b0a0a3289699f1b4917e,627c6fafca84a60ec02aefab,2022-05-11_22h26.24.200,classification_task,2021.2.3,Win32,60.07810153,627c6715c52fd12f31907bcf,,,,,,,,,,,,,,,,,,,,,,,,0,,"[""0.145"",""0.369"",""0.545"",""0.804""]","[0,1,1,1]",0,7,7,7,1,1,0,,,0,FALSE,,,,,,,,,,,,,
