usingWebGL,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,signatures_friend,signatures_foe,band_ranges_top,band_ranges_bottom,formitemText,formtype,formundefined,formitemWidth,formindex,formresponse,formrt,key_resp_2.keys,key_resp_2.rt,tute_resp.keys,tute_resp.rt,tutorial.thisRepN,tutorial.thisTrialN,tutorial.thisN,tutorial.thisIndex,tutorial.ran,key_resp_4.keys,key_resp_4.rt,key_resp.keys,key_resp.corr,key_resp.rt,lines_presented,is_signal_presented,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,vessel,active_band,lines,is_signal,supported_pos,catch_trial,debrief_formindex,debrief_formitemText,debrief_formtype,debrief_formitemWidth,debrief_formresponse,debrief_formrt,phases.thisRepN,phases.thisTrialN,phases.thisN,phases.thisIndex,phases.ran,phases.order,phase,key_resp_3.keys,key_resp_3.rt,trustitemText,trusttype,trustitemWidth,trustindex,trustresponse,trustrt,support_status.thisRepN,support_status.thisTrialN,support_status.thisN,support_status.thisIndex,support_status.ran,support_status.order,key_resp_5.keys,key_resp_5.rt,globalClockTime,userAgent,manualCondition
,nobody,1,2022-05-12_11h11.09.574,classification_task,2021.2.3,Win32,59.95203837,1,,,,,,,,,,,,,,,,,,,,,,,a,0,0.464,"[""0.050"",""0.935"",""0.592"",""0.701""]","[1,0,1,1]",0,5,5,5,1,1,1,,,1,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,nobody,1,2022-05-12_11h11.09.574,classification_task,2021.2.3,Win32,59.95203837,1,,,,,,,,,,,,,,,,,,,,,,,a,0,0.117,"[""0.116"",""0.285"",""0.851"",""0.750""]","[1,1,0,1]",0,6,6,6,1,1,0,,,1,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,nobody,1,2022-05-12_11h11.09.574,classification_task,2021.2.3,Win32,59.95203837,1,,,,,,,,,,,,,,,,,,,,,,,a,0,0.003,"[""0.935"",""0.285"",""0.550"",""0.750""]","[0,1,1,1]",0,7,7,7,1,1,0,,,1,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,nobody,1,2022-05-12_11h11.09.574,classification_task,2021.2.3,Win32,59.95203837,1,,,,,,,,,,,,,,,,,,,,,,,a,1,5.991,"[""0.239"",""0.198"",""0.655"",""0.884""]","[1,0,1,1]",0,8,8,8,1,0,0,,,1,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,nobody,1,2022-05-12_11h11.09.574,classification_task,2021.2.3,Win32,59.95203837,1,,,,,,,,,,,,,,,,,,,,,,,a,1,1.698,"[""0.164"",""0.351"",""0.846"",""0.970""]","[1,1,0,1]",0,9,9,9,1,0,1,,,1,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,nobody,1,2022-05-12_11h11.09.574,classification_task,2021.2.3,Win32,59.95203837,1,,,,,,,,,,,,,,,,,,,,,,,a,1,0.102,"[""0.848"",""0.351"",""0.807"",""0.970""]","[0,1,1,1]",0,10,10,10,1,0,1,,,1,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,nobody,1,2022-05-12_11h11.09.574,classification_task,2021.2.3,Win32,59.95203837,1,,,,,,,,,,,,,,,,,,,,,,,a,1,0.008,"[""0.164"",""0.848"",""0.807"",""0.970""]","[1,0,1,1]",0,11,11,11,1,0,1,,,1,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,nobody,1,2022-05-12_11h11.09.574,classification_task,2021.2.3,Win32,59.95203837,1,,,,,,,,,,,,,,,,,,,,,,,a,1,0.047,"[""0.198"",""0.473"",""0.655"",""0.884""]","[0,1,1,1]",0,12,12,12,1,0,0,,,1,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,nobody,1,2022-05-12_11h11.09.574,classification_task,2021.2.3,Win32,59.95203837,1,,,,,,,,,,,,,,,,,,,,,,,a,1,0.073,"[""0.239"",""0.473"",""0.655"",""0.934""]","[1,1,1,0]",0,13,13,13,1,0,0,,,1,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,nobody,1,2022-05-12_11h11.09.574,classification_task,2021.2.3,Win32,59.95203837,1,,,,,,,,,,,,,,,,,,,,,,,a,0,0.08,"[""0.050"",""0.413"",""0.592"",""0.846""]","[1,1,1,0]",0,14,14,14,1,1,1,,,1,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
